#번호,설치목적구분,카메라대수,카메라화소수,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,생활방범,4,,,,02-2094-0284,37.58004478,127.0836163,2020-05-06
2,생활방범,1,,,,02-2094-0284,37.57797241,127.0930099,2020-05-06
3,생활방범,3,,,,02-2094-0284,37.57725634,127.0838801,2020-05-06
4,생활방범,2,,,,02-2094-0284,37.57761383,127.0884323,2020-05-06
5,생활방범,1,,,,02-2094-0284,37.57952499,127.0951004,2020-05-06
6,생활방범,1,,,,02-2094-0284,37.57810974,127.0858154,2020-05-06
7,생활방범,2,,,,02-2094-0284,37.5772004,127.0806113,2020-05-06
8,생활방범,1,,,,02-2094-0284,37.57691574,127.0812912,2020-05-06
9,생활방범,1,,,,02-2094-0284,37.578125,127.0842819,2020-05-06
10,생활방범,2,,,,02-2094-0284,37.577034,127.0898361,2020-05-06
11,생활방범,2,,,,02-2094-0284,37.5793664,127.0837758,2020-05-06
12,생활방범,2,,,,02-2094-0284,37.58060837,127.0839081,2020-05-06
13,생활방범,4,,,,02-2094-0284,37.57801056,127.0922012,2020-05-06
14,생활방범,3,,,,02-2094-0284,37.57961273,127.0891647,2020-05-06
15,생활방범,2,,,,02-2094-0284,37.57774353,127.0842361,2020-05-06
16,생활방범,4,,,,02-2094-0284,37.57678604,127.0852051,2020-05-06
17,생활방범,2,,,,02-2094-0284,37.57869339,127.0894699,2020-05-06
18,생활방범,2,,,,02-2094-0284,37.57852173,127.0837479,2020-05-06
19,생활방범,4,,,,02-2094-0284,37.57868195,127.0863342,2020-05-06
20,생활방범,1,,,,02-2094-0284,37.58885904,127.0997583,2020-05-06
21,생활방범,1,,,,02-2094-0284,37.58906937,127.0991898,2020-05-06
22,생활방범,2,,,,02-2094-0284,37.58200011,127.0915678,2020-05-06
23,생활방범,2,,,,02-2094-0284,37.581707,127.0883102,2020-05-06
24,생활방범,4,,,,02-2094-0284,37.58328247,127.0869064,2020-05-06
25,생활방범,3,,,,02-2094-0284,37.58890492,127.0979823,2020-05-06
26,생활방범,2,,,,02-2094-0284,37.58823395,127.0953064,2020-05-06
27,생활방범,1,,,,02-2094-0284,37.58802487,127.100125,2020-05-06
28,생활방범,1,,,,02-2094-0284,37.58322144,127.0923691,2020-05-06
29,생활방범,1,,,,02-2094-0284,37.5820694,127.0848236,2020-05-06
30,생활방범,4,,,,02-2094-0284,37.58291228,127.0894084,2020-05-06
31,생활방범,1,,,,02-2094-0284,37.58712725,127.1003274,2020-05-06
32,생활방범,1,,,,02-2094-0284,37.5877037,127.0966644,2020-05-06
33,생활방범,3,,,,02-2094-0284,37.58336416,127.0906304,2020-05-06
34,생활방범,3,,,,02-2094-0284,37.58359528,127.0952072,2020-05-06
35,생활방범,3,,,,02-2094-0284,37.5839119,127.0850525,2020-05-06
36,생활방범,4,,,,02-2094-0284,37.58239365,127.0854721,2020-05-06
37,생활방범,4,,,,02-2094-0284,37.58185959,127.0942612,2020-05-06
38,생활방범,1,,,,02-2094-0284,37.58270367,127.0880061,2020-05-06
39,생활방범,3,,,,02-2094-0284,37.58121571,127.0852804,2020-05-06
40,생활방범,5,,,,02-2094-0284,37.58972168,127.0960236,2020-05-06
41,생활방범,3,,,,02-2094-0284,37.58223278,127.0880349,2020-05-06
42,생활방범,4,,,,02-2094-0284,37.58182081,127.0867135,2020-05-06
43,생활방범,1,,,,02-2094-0284,37.58932257,127.0945565,2020-05-06
44,생활방범,1,,,,02-2094-0284,37.58168793,127.0904465,2020-05-06
45,생활방범,3,,,,02-2094-0284,37.58219879,127.0892358,2020-05-06
46,생활방범,1,,,,02-2094-0284,37.58840312,127.1015535,2020-05-06
47,생활방범,1,,,,02-2094-0284,37.58900042,127.1021018,2020-05-06
48,생활방범,2,,,,02-2094-0284,37.5982132,127.086174,2020-05-06
49,생활방범,2,,,,02-2094-0284,37.59888458,127.0856857,2020-05-06
50,생활방범,2,,,,02-2094-0284,37.59963989,127.0857391,2020-05-06
51,생활방범,3,,,,02-2094-0284,37.59682083,127.0836334,2020-05-06
52,생활방범,3,,,,02-2094-0284,37.5978241,127.0867615,2020-05-06
53,생활방범,1,,,,02-2094-0284,37.59922028,127.0862198,2020-05-06
54,생활방범,2,,,,02-2094-0284,37.60101668,127.0868236,2020-05-06
55,생활방범,2,,,,02-2094-0284,37.59991455,127.088562,2020-05-06
56,생활방범,2,,,,02-2094-0284,37.60219574,127.0927429,2020-05-06
